"vars_manip_1","vars_manip_2","vars_manip","distrib","phage_disp","Cell_population","Cell2_population","relativecA","relativeI","cA","irate","relativeR","relativeChi","Chi","relativecR","cR","relativeY","Y","relativeb","b","Cell2_Cell1"
"I","Y","I_vs_Y","global","0",7.692e+10,8677800000,NA,100,NA,1e-14,0.01,NA,NA,NA,NA,1.41,1.229e+10,NA,NA,0.112815912636505
"I","Y","I_vs_Y","global","0",7.9112e+11,891510000,NA,100,NA,1e-14,0.01,NA,NA,NA,NA,0.71,1.229e+10,NA,NA,0.00112689604611184
"I","Y","I_vs_Y","global","0",6.7753e+11,1.884e+10,NA,10,NA,1e-14,0.1,NA,NA,NA,NA,0.84,1.229e+10,NA,NA,0.0278068867799212
"I","Y","I_vs_Y","global","0",1.6682e+11,6.7529e+10,NA,10,NA,1e-14,0.1,NA,NA,NA,NA,1,1.229e+10,NA,NA,0.404801582544059
"I","Y","I_vs_Y","global","0",9057900000,8.7978e+10,NA,10,NA,1e-14,0.1,NA,NA,NA,NA,1.19,1.229e+10,NA,NA,9.71284734872321
"I","Y","I_vs_Y","global","0",286670000,9.7522e+10,NA,10,NA,1e-14,0.1,NA,NA,NA,NA,1.41,1.229e+10,NA,NA,340.189067568982
"I","Y","I_vs_Y","global","0",8.7029e+11,2399300000,NA,10,NA,1e-14,0.1,NA,NA,NA,NA,0.71,1.229e+10,NA,NA,0.00275689712624527
"I","Y","I_vs_Y","global","0",8.4711e+11,4.4469e+10,NA,1,NA,1e-14,1,NA,NA,NA,NA,0.84,1.229e+10,NA,NA,0.0524949534298969
"I","Y","I_vs_Y","global","0",4.4701e+11,4.4701e+11,NA,1,NA,1e-14,1,NA,NA,NA,NA,1,1.229e+10,NA,NA,1
"I","Y","I_vs_Y","global","0",2.8946e+10,9.573e+11,NA,1,NA,1e-14,1,NA,NA,NA,NA,1.19,1.229e+10,NA,NA,33.0719270365508
"I","Y","I_vs_Y","global","0",6.8e+08,1.0873e+12,NA,1,NA,1e-14,1,NA,NA,NA,NA,1.41,1.229e+10,NA,NA,1598.97058823529
"I","Y","I_vs_Y","global","0",8.9079e+11,4360100000,NA,1,NA,1e-14,1,NA,NA,NA,NA,0.71,1.229e+10,NA,NA,0.00489464407997396
"I","Y","I_vs_Y","global","0",8.858e+11,1.3218e+11,NA,0.1,NA,1e-14,10,NA,NA,NA,NA,0.84,1.229e+10,NA,NA,0.149221043124859
"I","Y","I_vs_Y","global","0",7.6614e+11,1.6691e+12,NA,0.1,NA,1e-14,10,NA,NA,NA,NA,1,1.229e+10,NA,NA,2.17858354869867
"I","Y","I_vs_Y","global","0",1.6784e+11,9.0059e+12,NA,0.1,NA,1e-14,10,NA,NA,NA,NA,1.19,1.229e+10,NA,NA,53.6576501429933
"I","Y","I_vs_Y","global","0",4276300000,1.1997e+13,NA,0.1,NA,1e-14,10,NA,NA,NA,NA,1.41,1.229e+10,NA,NA,2805.46266632369
"I","Y","I_vs_Y","global","0",8.9375e+11,1.3565e+10,NA,0.1,NA,1e-14,10,NA,NA,NA,NA,0.71,1.229e+10,NA,NA,0.0151776223776224
"I","Y","I_vs_Y","global","0",8.9279e+11,7.614e+12,NA,0.01,NA,1e-14,100,NA,NA,NA,NA,0.84,1.229e+10,NA,NA,8.528321329764
"I","Y","I_vs_Y","global","0",8.6519e+11,1.3797e+13,NA,0.01,NA,1e-14,100,NA,NA,NA,NA,1,1.229e+10,NA,NA,15.9467862550422
"I","Y","I_vs_Y","global","0",5.2555e+11,5.7902e+13,NA,0.01,NA,1e-14,100,NA,NA,NA,NA,1.19,1.229e+10,NA,NA,110.174103320331
"I","Y","I_vs_Y","global","0",3.2418e+10,1.2932e+14,NA,0.01,NA,1e-14,100,NA,NA,NA,NA,1.41,1.229e+10,NA,NA,3989.14183478314
"I","Y","I_vs_Y","global","0",8.9438e+11,5.4095e+12,NA,0.01,NA,1e-14,100,NA,NA,NA,NA,0.71,1.229e+10,NA,NA,6.04832397862206
"b","cA","b_vs_cA","global","0",8.3673e+11,8.3673e+11,0.44,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.1,30,1
"b","cA","b_vs_cA","global","0",4.47e+11,4.47e+11,0.44,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,1,30,1
"b","cA","b_vs_cA","global","0",7.9012e+10,7.9012e+10,0.44,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,10,30,1
"b","cA","b_vs_cA","global","0",2.1093e+11,2.1093e+11,0.44,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,3.1623,30,1
"b","cA","b_vs_cA","global","0",6.9182e+11,6.9182e+11,0.44,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.31623,30,1
"b","cA","b_vs_cA","global","0",8.3675e+11,8.3675e+11,0.67,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.1,30,1
"b","cA","b_vs_cA","global","0",4.47e+11,4.47e+11,0.67,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,1,30,1
"b","cA","b_vs_cA","global","0",7.9013e+10,7.9013e+10,0.67,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,10,30,1
"b","cA","b_vs_cA","global","0",2.1093e+11,2.1093e+11,0.67,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,3.1623,30,1
"b","cA","b_vs_cA","global","0",6.9183e+11,6.9183e+11,0.67,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.31623,30,1
"b","cA","b_vs_cA","global","0",8.3678e+11,8.3678e+11,1,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.1,30,1
"b","cA","b_vs_cA","global","0",4.4701e+11,4.4701e+11,1,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,1,30,1
"b","cA","b_vs_cA","global","0",7.9013e+10,7.9013e+10,1,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,10,30,1
"b","cA","b_vs_cA","global","0",2.1093e+11,2.1093e+11,1,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,3.1623,30,1
"b","cA","b_vs_cA","global","0",6.9185e+11,6.9185e+11,1,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.31623,30,1
"b","cA","b_vs_cA","global","0",8.3682e+11,8.3682e+11,1.5,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.1,30,1
"b","cA","b_vs_cA","global","0",4.4702e+11,4.4702e+11,1.5,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,1,30,1
"b","cA","b_vs_cA","global","0",7.9013e+10,7.9013e+10,1.5,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,10,30,1
"b","cA","b_vs_cA","global","0",2.1094e+11,2.1094e+11,1.5,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,3.1623,30,1
"b","cA","b_vs_cA","global","0",6.9188e+11,6.9188e+11,1.5,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.31623,30,1
"b","cA","b_vs_cA","global","0",8.3688e+11,8.3688e+11,2.25,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.1,30,1
"b","cA","b_vs_cA","global","0",4.4704e+11,4.4704e+11,2.25,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,1,30,1
"b","cA","b_vs_cA","global","0",7.9014e+10,7.9014e+10,2.25,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,10,30,1
"b","cA","b_vs_cA","global","0",2.1094e+11,2.1094e+11,2.25,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,3.1623,30,1
"b","cA","b_vs_cA","global","0",6.9193e+11,6.9193e+11,2.25,NA,4.17e-16,NA,NA,NA,NA,NA,NA,NA,NA,0.31623,30,1
"b","Chi","b_vs_Chi","global","0",8.3699e+11,8.3362e+11,NA,NA,NA,NA,NA,0.42,315,NA,NA,NA,NA,0.1,30,0.995973667546805
"b","Chi","b_vs_Chi","global","0",4.4749e+11,4.465e+11,NA,NA,NA,NA,NA,0.42,315,NA,NA,NA,NA,1,30,0.997787660059443
"b","Chi","b_vs_Chi","global","0",7.9042e+10,7.9009e+10,NA,NA,NA,NA,NA,0.42,315,NA,NA,NA,NA,10,30,0.999582500442803
"b","Chi","b_vs_Chi","global","0",2.111e+11,2.1087e+11,NA,NA,NA,NA,NA,0.42,315,NA,NA,NA,NA,3.1623,30,0.998910468972051
"b","Chi","b_vs_Chi","global","0",6.9236e+11,6.9004e+11,NA,NA,NA,NA,NA,0.42,315,NA,NA,NA,NA,0.31623,30,0.996649142064822
"b","Chi","b_vs_Chi","global","0",8.3507e+11,8.6243e+11,NA,NA,NA,NA,NA,5.62,315,NA,NA,NA,NA,0.1,30,1.03276372040667
"b","Chi","b_vs_Chi","global","0",4.4317e+11,4.5109e+11,NA,NA,NA,NA,NA,5.62,315,NA,NA,NA,NA,1,30,1.01787124579732
"b","Chi","b_vs_Chi","global","0",7.8779e+10,7.9043e+10,NA,NA,NA,NA,NA,5.62,315,NA,NA,NA,NA,10,30,1.00335114687924
"b","Chi","b_vs_Chi","global","0",2.0958e+11,2.114e+11,NA,NA,NA,NA,NA,5.62,315,NA,NA,NA,NA,3.1623,30,1.00868403473614
"b","Chi","b_vs_Chi","global","0",6.8774e+11,7.0648e+11,NA,NA,NA,NA,NA,5.62,315,NA,NA,NA,NA,0.31623,30,1.02724866955536
"b","Chi","b_vs_Chi","global","0",8.3678e+11,8.3678e+11,NA,NA,NA,NA,NA,1,315,NA,NA,NA,NA,0.1,30,1
